t,o,h,l,c,v
1720404000000,54963.7,55441.9,54600.0,55380.6,1070392.6
1720407600000,55380.6,55484.0,54860.2,55160.0,572702.2
1720411200000,55160.0,55641.6,54959.2,55492.4,497319.6
1720414800000,55492.5,55700.0,55286.0,55479.0,405552.3
1720418400000,55479.1,55896.0,55205.9,55629.7,563062.6
1720422000000,55629.7,55855.0,55516.8,55849.5,265495.4
1720425600000,55849.4,57900.0,55726.8,57784.9,2429018.3
1720429200000,57784.9,58226.4,57357.0,57520.1,1073320.2
1720432800000,57520.0,57719.7,56693.3,56814.2,839123.0
1720436400000,56814.2,57353.0,56739.9,57158.8,657382.1
1720440000000,57158.7,57629.8,56869.4,57149.9,581635.9
1720443600000,57150.0,57440.0,56801.7,57234.6,622634.2
1720447200000,57234.7,57318.7,54901.6,56188.5,3011424.3
1720450800000,56188.6,56790.2,55679.4,55760.2,1254189.4
1720454400000,55760.2,56122.4,55417.7,55810.4,714021.7
1720458000000,55810.4,56379.4,55594.2,56287.2,510498.5
1720461600000,56287.1,56566.0,56157.0,56280.8,355397.8
1720465200000,56279.3,56547.7,56148.7,56480.7,241490.2
1720468800000,56482.9,56574.4,56201.0,56260.0,263317.1
1720472400000,56260.0,56853.3,56202.5,56650.0,343225.2
1720476000000,56650.1,56974.1,56551.8,56681.1,271887.5
1720479600000,56681.1,56874.4,56608.7,56719.1,186084.2
1720483200000,56719.1,56775.4,56285.9,56539.5,383097.0
1720486800000,56539.5,57299.4,56451.0,56562.8,837795.0
1720490400000,56562.9,57374.8,56333.1,57269.8,636627.3
1720494000000,57269.8,57278.0,56871.0,57171.0,365918.3
1720497600000,57171.0,57373.2,57101.6,57286.2,311205.4
1720501200000,57286.1,57443.1,57117.1,57291.4,410588.2
1720504800000,57291.4,57776.9,57191.2,57476.5,525637.3
1720508400000,57476.5,57564.1,56993.9,57116.4,554536.2
1720512000000,57116.3,57922.0,57019.9,57620.0,1077156.0
1720515600000,57619.9,57696.1,57502.0,57582.3,235733.0
1720519200000,57582.0,57668.6,57285.2,57432.5,306981.6
1720522800000,57432.5,57555.0,57223.4,57430.9,197352.5
1720526400000,57430.0,57569.1,57270.6,57340.6,248368.0
1720530000000,57340.7,57418.7,56942.3,57338.4,532078.1
1720533600000,57338.5,58143.0,57055.0,57066.0,1500962.9
1720537200000,57066.0,57500.0,56888.9,57470.5,735135.6
1720540800000,57470.5,57866.0,57394.0,57683.6,557560.7
1720544400000,57683.5,57806.4,57358.2,57525.5,198197.0
1720548000000,57525.6,58333.0,57439.3,57907.6,800851.0
1720551600000,57907.5,57929.3,57677.6,57859.9,202348.8
1720555200000,57859.8,58109.2,57700.0,57940.0,205123.1
1720558800000,57940.0,57986.7,57760.5,57799.4,92633.2
1720562400000,57799.5,58276.4,57715.0,57937.8,233635.4
1720566000000,57937.7,58126.2,57860.1,58044.1,129221.2
1720569600000,58044.2,58044.2,57392.4,57484.3,366012.9
1720573200000,57484.4,57993.3,57328.1,57789.7,381878.1
1720576800000,57789.7,57915.3,57635.8,57883.8,164338.3
1720580400000,57882.6,58219.3,57835.1,58181.7,338672.6
1720584000000,58178.4,59455.0,58178.3,59338.6,2005205.6
1720587600000,59338.6,59481.7,58818.7,58974.3,611545.4
1720591200000,58974.3,59317.1,58850.0,59240.0,379772.1
1720594800000,59239.9,59286.0,58831.8,58978.6,343365.3
1720598400000,58978.6,59042.3,58600.0,58758.1,494404.7
1720602000000,58758.1,58775.8,58394.0,58494.9,618864.5
1720605600000,58495.8,58736.5,58316.0,58655.2,382842.3
1720609200000,58655.2,58728.8,58350.2,58496.7,242933.1
1720612800000,58496.7,58572.4,57737.8,58162.7,996554.5
1720616400000,58162.7,58313.3,57511.0,57762.7,958355.8
