t,o,h,l,c,v
1719247500000,60561.8,60568.3,59919.4,60172.1,854559.0
1719248400000,60172.2,60499.0,59788.0,60204.3,631842.5
1719249300000,60204.3,60548.2,59937.4,59979.9,469330.7
1719250200000,59979.9,60456.3,59872.6,60266.0,333353.9
1719251100000,60265.9,60371.9,60086.2,60257.4,186671.8
1719252000000,60258.2,60300.0,59941.3,59984.0,163225.0
1719252900000,59983.9,60460.0,59701.6,60426.7,446027.3
1719253800000,60426.6,60486.7,60238.1,60281.6,130517.5
1719254700000,60281.6,60449.9,60240.0,60414.2,95222.3
1719255600000,60414.1,60486.0,60199.9,60212.1,133075.9
1719256500000,60212.0,60212.1,59934.5,60049.3,164648.7
1719257400000,60048.1,60171.0,59811.2,59867.4,166093.3
1719258300000,59867.3,59881.8,59051.5,59322.1,857551.0
1719259200000,59319.6,59677.4,59254.5,59338.0,391232.8
1719260100000,59337.9,59395.9,58658.0,58916.3,558846.8
1719261000000,58916.2,59342.3,58351.0,59190.6,802378.9
1719261900000,59190.7,59536.0,59154.1,59505.3,181062.8
1719262800000,59505.3,59650.0,59411.7,59622.0,169778.9
1719263700000,59621.9,59888.0,59575.5,59792.2,139978.4
1719264600000,59792.2,59998.9,59792.1,59904.7,181232.5
1719265500000,59904.8,60123.2,59858.8,60110.1,93250.9
1719266400000,60110.2,60123.3,59969.5,60063.1,91896.6
1719267300000,60063.1,60174.3,60004.0,60165.0,74175.6
1719268200000,60164.9,60265.4,60113.4,60121.5,107476.2
1719269100000,60121.5,60134.9,60040.9,60043.6,52118.9
1719270000000,60043.7,60275.7,59982.5,60200.0,78010.9
1719270900000,60200.0,60274.9,60130.1,60203.5,46406.5
1719271800000,60203.4,60430.0,60193.1,60392.6,101433.8
1719272700000,60392.5,60426.6,60275.4,60280.3,106473.4
1719273600000,60280.2,60334.5,60243.0,60256.4,54364.5
1719274500000,60256.4,60480.0,60255.0,60368.9,79886.0
1719275400000,60368.9,60424.0,60300.0,60376.4,44497.5
1719276300000,60376.3,60645.9,60340.0,60400.0,166703.0
1719277200000,60400.0,60504.6,60324.5,60453.6,52544.6
1719278100000,60453.6,60455.4,60285.6,60322.7,47429.7
1719279000000,60322.7,60439.9,60270.3,60379.2,46225.0
1719279900000,60379.1,60491.4,60306.4,60491.4,36765.1
1719280800000,60491.4,60640.0,60456.0,60456.0,87306.7
1719281700000,60456.0,60546.8,60404.0,60460.3,53699.7
1719282600000,60466.9,60720.8,60466.9,60533.7,91727.4
1719283500000,60533.6,60736.4,60533.6,60674.7,90205.4
1719284400000,60673.2,61286.3,60627.0,61170.0,471244.6
1719285300000,61169.9,61430.0,61106.1,61338.4,233200.1
1719286200000,61338.3,61571.2,61317.6,61566.9,195393.2
1719287100000,61566.8,61589.8,61264.0,61299.9,226363.5
1719288000000,61300.0,61376.5,61164.2,61193.6,149015.3
1719288900000,61193.6,61325.9,61193.6,61316.5,68201.1
1719289800000,61316.5,61420.0,61266.7,61292.3,75389.4
1719290700000,61292.4,61415.3,61247.4,61374.0,52789.2
1719291600000,61374.1,61417.5,61334.2,61353.4,43550.7
1719292500000,61353.4,61387.6,61289.0,61289.0,62412.7
1719293400000,61289.0,61309.8,60978.0,61010.6,156290.3
1719294300000,61010.1,61082.4,60939.0,61030.1,101228.4
1719295200000,61030.1,61082.5,60966.0,61025.7,66366.1
1719296100000,61025.7,61110.0,60990.0,61044.1,56021.9
1719297000000,61044.0,61186.8,61044.0,61119.5,86332.9
1719297900000,61119.5,61166.6,61089.0,61144.0,42007.4
1719298800000,61143.9,61252.0,60966.0,60979.1,105153.3
1719299700000,60979.1,61008.5,60811.7,60840.1,136062.9
1719300600000,60840.0,60907.7,60736.1,60740.0,129033.5
